Sub-Sub-Title,Sub-Title,Team,bandera,bullet_id,commentId,country,fecha,formatted,id,source_file
,,x countries,Otra,6897d90d4b4c947f5323bdd2_1,6897d90d4b4c947f5323bdd2,CORP,2025-Q3,tte - kick off de historias 2026,6897d90d4b4c947f5323bdd2_1,6897d90d4b4c947f5323bdd2.json
,,x countries,Otra,6897d90d4b4c947f5323bdd2_2,6897d90d4b4c947f5323bdd2,CORP,2025-Q3,optimus - ayudar a vane con la parte de ia,6897d90d4b4c947f5323bdd2_2,6897d90d4b4c947f5323bdd2.json
,,x countries,Otra,6897d90d4b4c947f5323bdd2_3,6897d90d4b4c947f5323bdd2,CORP,2025-Q3,projectos ia - acompañamiento,6897d90d4b4c947f5323bdd2_3,6897d90d4b4c947f5323bdd2.json
,,x countries,Otra,68b2cc1d64f0d7d7a77d9e2e_3,68b2cc1d64f0d7d7a77d9e2e,CORP,2025-Q3,Optimus - Capacitacion IA,68b2cc1d64f0d7d7a77d9e2e_3,68b2cc1d64f0d7d7a77d9e2e.json
,,x countries,Otra,68b2cc1d64f0d7d7a77d9e2e_1,68b2cc1d64f0d7d7a77d9e2e,CORP,2025-Q3,TTE - Historias 2026,68b2cc1d64f0d7d7a77d9e2e_1,68b2cc1d64f0d7d7a77d9e2e.json
,,x countries,Otra,68b2cc1d64f0d7d7a77d9e2e_2,68b2cc1d64f0d7d7a77d9e2e,CORP,2025-Q3,Clara Análitica,68b2cc1d64f0d7d7a77d9e2e_2,68b2cc1d64f0d7d7a77d9e2e.json
,,x countries,Otra,68b2cc1d64f0d7d7a77d9e2e_4,68b2cc1d64f0d7d7a77d9e2e,CORP,2025-Q3,EXTRA: Nuevo Proyecto con Gus Monteiro,68b2cc1d64f0d7d7a77d9e2e_4,68b2cc1d64f0d7d7a77d9e2e.json
,,x countries,Otra,68be27d2741ae2104e4f6a52_1,68be27d2741ae2104e4f6a52,CORP,2025-Q3,tte - historias y equipo,68be27d2741ae2104e4f6a52_1,68be27d2741ae2104e4f6a52.json
,,x countries,Otra,68be27d2741ae2104e4f6a52_2,68be27d2741ae2104e4f6a52,CORP,2025-Q3,clara agentica,68be27d2741ae2104e4f6a52_2,68be27d2741ae2104e4f6a52.json
,,x countries,Otra,68be27d2741ae2104e4f6a52_3,68be27d2741ae2104e4f6a52,CORP,2025-Q3,ai bi weekly,68be27d2741ae2104e4f6a52_3,68be27d2741ae2104e4f6a52.json
,,x countries,Otra,68c698608cacc6e76ba97ae5_1,68c698608cacc6e76ba97ae5,CORP,2025-Q3,tte - fup juani m para recursos 2026,68c698608cacc6e76ba97ae5_1,68c698608cacc6e76ba97ae5.json
,,x countries,Otra,68c698608cacc6e76ba97ae5_3,68c698608cacc6e76ba97ae5,CORP,2025-Q3,agentic sellers dobleclick en proyectos de acquiring userfacing,68c698608cacc6e76ba97ae5_3,68c698608cacc6e76ba97ae5.json
,,x countries,Otra,68c698608cacc6e76ba97ae5_2,68c698608cacc6e76ba97ae5,CORP,2025-Q3,optimus - mafalda intro al proyecto shadowing,68c698608cacc6e76ba97ae5_2,68c698608cacc6e76ba97ae5.json
,,x countries,Otra,68c698608cacc6e76ba97ae5_4,68c698608cacc6e76ba97ae5,CORP,2025-Q3,cpc ia acompañamiento de proyectos clara agentica,68c698608cacc6e76ba97ae5_4,68c698608cacc6e76ba97ae5.json
,,x countries,Otra,68d125e435301eb65a07f803_1,68d125e435301eb65a07f803,CORP,2025-Q3,tte - diseño y negociacion con equipos mobile,68d125e435301eb65a07f803_1,68d125e435301eb65a07f803.json
,,x countries,Otra,68d125e435301eb65a07f803_3,68d125e435301eb65a07f803,CORP,2025-Q3,cpc ia: fup proyectos,68d125e435301eb65a07f803_3,68d125e435301eb65a07f803.json
,,x countries,Otra,68da6c83f7447007469bf10c_3,68da6c83f7447007469bf10c,CORP,2025-Q3,mafalda,68da6c83f7447007469bf10c_3,68da6c83f7447007469bf10c.json
,,x countries,Otra,68da6c83f7447007469bf10c_1,68da6c83f7447007469bf10c,CORP,2025-Q3,cpc ai biweekly presentation,68da6c83f7447007469bf10c_1,68da6c83f7447007469bf10c.json
,,x countries,Otra,68da6c83f7447007469bf10c_2,68da6c83f7447007469bf10c,CORP,2025-Q3,optimus kick off to ai adoption leaders,68da6c83f7447007469bf10c_2,68da6c83f7447007469bf10c.json
,,x countries,Otra,68e3a519e889859f458a624c_2,68e3a519e889859f458a624c,CORP,2025-Q4,cpc ia: fup proyectos,68e3a519e889859f458a624c_2,68e3a519e889859f458a624c.json
,,x countries,Otra,68e3a519e889859f458a624c_1,68e3a519e889859f458a624c,CORP,2025-Q4,tte - definición de recursos y wow,68e3a519e889859f458a624c_1,68e3a519e889859f458a624c.json
